24
P;35864275;0002;2;0.50;13.53.22;14.11.21
N;35189188;0002;20;0.50;14.47.12;14.11.21
P;35864275;0002;2;0.50;13.53.22;15.11.21
P;35864275;2003;10;0.06;13.54.01;15.11.21
P;35864275;7002;1;0.14;13.54.25;15.11.21
P;35864275;4009;4;0.60;13.55.00;15.11.21
N;87651682;4009;15;0.60;14.55.00;22.11.21
N;87651682;2003;50;0.60;14.55.00;22.11.21
P;58956123;4003;2;1.10;15.07.16;22.11.21
P;58956123;6002;1;1.40;15.07.56;22.11.21
P;54354981;3000;2;0.80;10.24.13;23.11.21
N;65986256;4003;5;0.80;10.24.13;23.11.21
P;61448651;1001;8;0.30;09.12.55;24.11.21
P;28441656;5006;5;0.90;13.53.22;24.11.21
N;78456184;5006;5;0.90;18.24.13;24.11.21
N;78456184;4009;25;0.60;08.24.13;25.11.21
P;74115685;4008;4;0.60;09.27.59;25.11.21
P;74115685;4009;14;0.60;09.28.38;25.11.21
P;74115685;0009;2;0.70;09.29.26;25.11.21
P;95191526;1011;4;1.20;10.27.39;26.11.21
P;95191526;6001;6;0.90;10.28.38;26.11.21
P;51981659;2010;12;1.30;17.09.26;26.11.21
N;51651686;4008;10;0.30;18.24.13;26.11.21
P;45619865;4008;4;0.50;08.29.59;27.11.21
N;16461656;1011;10;1.1;09.19.54;27.11.21
P;19194989;4009;5;0.80;10.22.38;27.11.21
P;19194989;6010;1;0.90;10.25.38;27.11.21
P;17484598;0009;2;0.70;12.12.26;27.11.21
P;85197841;4008;4;0.60;07.33.48;28.11.21
P;69854895;6001;9;0.60;09.28.38;28.11.21
N;78456184;6001;20;0.50;08.24.13;28.11.21
N;78456184;5006;5;0.90;08.56.03;28.11.21
P;66598172;5000;4;0.70;09.29.26;28.11.21
P;66598172;3002;2;0.80;09.31.06;28.11.21
N;54684532;5000;8;0.65;10.29.26;28.11.21
N;78456184;5006;5;0.90;08.56.03;29.11.21
P;66598171;5000;4;0.70;09.29.26;29.11.21
P;66598171;3002;2;0.80;09.31.06;29.11.21
N;54684532;5000;8;0.65;10.29.26;29.11.21
P;66598982;3002;2;0.80;09.31.06;30.11.21
P;16516545;2004;4;0.87;09.10.20;01.12.21
N;26516545;2004;4;0.87;09.10.20;02.12.21
P;36516545;2004;4;0.87;09.10.20;03.12.21
P;46516545;2004;4;0.87;09.10.20;05.12.21
N;46516545;2004;4;0.87;10.10.20;05.12.21
N;46516546;2004;4;0.87;11.10.20;05.12.21
